,pmid,geneId,follicleId,pre_label,abstract,follicleName,geneName
10,26247934,3655,F000029,1,"Ovine Hair Follicle Stem Cells Derived from Single Vibrissae Reconstitute Haired Skin. Hair follicle stem cells (HFSCs) possess fascinating self-renewal capacity and multipotency, which play important roles in mammalian hair growth and skin wound repair. Although HFSCs from other mammalian species have been obtained, the characteristics of ovine HFSCs, as well as the methods to isolate them have not been well addressed. Here, we report an efficient strategy to obtain multipotent ovine HFSCs. Through microdissection and organ culture, we obtained keratinocytes that grew from the bulge area of vibrissa hair follicles, and even abundant keratinocytes were harvested from a single hair follicle. These bulge-derived keratinocytes are highly positive for Krt15, Krt14, Tp63, Krt19 and Itga6; in addition to their strong proliferation abilities in vitro, these keratinocytes formed new epidermis, hair follicles and sebaceous glands in skin reconstitution experiments, showing that these are HFSCs from the bulge outer root sheath. Taken together, we developed an efficient in vitro system to enrich ovine HFSCs, providing enough HFSCs for the investigations about the ovine hair cycle, aiming to promote wool production in the future.",Hair Follicle Stem Cells,Itga6
11,25366125,16842,F000034,1,"Hair follicle morphogenesis and epidermal homeostasis in we/we wal/wal mice with postnatal alopecia. Mice with skin and hair follicle (HF) defects are common models of human skin disorders. A mutant strain with the we/we wal/wal genotype develops alopecia. We found the hair shaft structure in the pelage of mutant mice to have significant defects. Although these mice lose their hair at 21 days, a label-retaining cell population persists in HFs until at least day 54. Depilation-induced anagen was accomplished in we/we wal/wal mutants but the resulting hair shafts were short and extremely deformed. Serious abnormalities in epidermis stratification and HF morphogenesis exist in we/we wal/wal homozygous E18.5 embryos. There were significantly fewer HF primordia in this mutant compared with wild type. We discovered specific structures, identified as invalid placodes, positive for ectodysplasin A1 receptor, nuclear beta-catenin, and LEF1, which failed to invaginate, produced a double basal-like layer of epidermal cells, and lacked cylindrical keratinocytes. Specification of dermal papillae (DP) was impaired, and the papillary dermis expressed alkaline phosphatase and LEF1. We also detected DP-like groups of intensively stained cells in the absence of visible signs of folliculogenesis in the epidermis. We showed differentiation disturbances in the mutant embryonic E18.5 epidermis and HFs: The cornified layer was absent, the width of the spinous layer was reduced, and HFs lacked LEF1-positive precortex cells. In this study, we used a very interesting and useful mouse model of alopecia. The presence of symptoms of skin disorders in we/we wal/wal murine embryos correlates with the postnatal skin phenotype. This correlation may help to evaluate reasons of alopecia.",dermal papillae,LEF1
12,25546423,79651,F000001,1,"iRhom2 mutation leads to aberrant hair follicle differentiation in mice. iRhom1 and iRhom2 are inactive homologues of rhomboid intramembrane serine proteases lacking essential catalytic residues, which are necessary for the maturation of TNFalpha-converting enzyme (TACE). In addition, iRhoms regulate epidermal growth factor family secretion. The functional significance of iRhom2 during mammalian development is largely unclear. We have identified a spontaneous single gene deletion mutation of iRhom2 in Uncv mice. The iRhom2Uncv/Uncv mice exhibit hairless phenotype in a BALB/c genetic background. In this study, we observed dysplasia hair follicles in iRhom2Uncv/Uncv mice from postnatal day 3. Further examination found decreased hair matrix proliferation and aberrant hair shaft and inner root sheath differentiation in iRhom2Uncv/Uncv mutant hair follicles. iRhom2 is required for the maturation of TACE. Our data demonstrate that iRhom2Uncv cannot induce the maturation of TACE in vitro and the level of mature TACE is also significantly reduced in the skin of iRhom2Uncv/Uncv mice. The activation of Notch1, a substrate of TACE, is disturbed, associated with dramatically down-regulation of Lef1 in iRhom2Uncv/Uncv hair follicle matrix. This study identifies iRhom2 as a novel regulator of hair shaft and inner root sheath differentiation.",hair Follicle,iRhom2
13,25657324,21834,F000013,1,"Thyroid hormone signaling controls hair follicle stem cell function. Observations in thyroid patients and experimental animals show that the skin is an important target for the thyroid hormones. We previously showed that deletion in mice of the thyroid hormone nuclear receptors TRalpha1 and TRbeta (the main thyroid hormone-binding isoforms) results in impaired epidermal proliferation, hair growth, and wound healing. Stem cells located at the bulges of the hair follicles are responsible for hair cycling and contribute to the regeneration of the new epidermis after wounding. Therefore a reduction in the number or function of the bulge stem cells could be responsible for this phenotype. Bulge cells show increased levels of epigenetic repressive marks, can retain bromodeoxyuridine labeling for a long time, and have colony-forming efficiency (CFE) in vitro. Here we demonstrate that mice lacking TRs do not have a decrease of the bulge stem cell population. Instead, they show an increase of label-retaining cells (LRCs) in the bulges and enhanced CFE in vitro. Reduced activation of stem cells leading to their accumulation in the bulges is indicated by a strongly reduced response to mobilization by 12-O-tetradecanolyphorbol-13-acetate. Altered function of the bulge stem cells is associated with aberrant activation of Smad signaling, leading to reduced nuclear accumulation of beta-catenin, which is crucial for stem cell proliferation and mobilization. LRCs of TR-deficient mice also show increased levels of epigenetic repressive marks. We conclude that thyroid hormone signaling is an important determinant of the mobilization of stem cells out of their niche in the hair bulge. These findings correlate with skin defects observed in mice and alterations found in human thyroid disorders.",hair cycling,TRbeta
14,25657324,12387,F000029,1,"Thyroid hormone signaling controls hair follicle stem cell function. Observations in thyroid patients and experimental animals show that the skin is an important target for the thyroid hormones. We previously showed that deletion in mice of the thyroid hormone nuclear receptors TRalpha1 and TRbeta (the main thyroid hormone-binding isoforms) results in impaired epidermal proliferation, hair growth, and wound healing. Stem cells located at the bulges of the hair follicles are responsible for hair cycling and contribute to the regeneration of the new epidermis after wounding. Therefore a reduction in the number or function of the bulge stem cells could be responsible for this phenotype. Bulge cells show increased levels of epigenetic repressive marks, can retain bromodeoxyuridine labeling for a long time, and have colony-forming efficiency (CFE) in vitro. Here we demonstrate that mice lacking TRs do not have a decrease of the bulge stem cell population. Instead, they show an increase of label-retaining cells (LRCs) in the bulges and enhanced CFE in vitro. Reduced activation of stem cells leading to their accumulation in the bulges is indicated by a strongly reduced response to mobilization by 12-O-tetradecanolyphorbol-13-acetate. Altered function of the bulge stem cells is associated with aberrant activation of Smad signaling, leading to reduced nuclear accumulation of beta-catenin, which is crucial for stem cell proliferation and mobilization. LRCs of TR-deficient mice also show increased levels of epigenetic repressive marks. We conclude that thyroid hormone signaling is an important determinant of the mobilization of stem cells out of their niche in the hair bulge. These findings correlate with skin defects observed in mice and alterations found in human thyroid disorders.",hair Follicle stem cell,beta-catenin
15,26156041,21802,F000021,1,"Involvement of epithelial Wntless in the regulation of postnatal hair follicle morphogenesis. The roles of the Wnt cargo receptor Wntless (Wls) during hair follicle (HF) induction and postnatal HF cycling in skin have been elucidated. However, whether Wls regulates postnatal HF morphogenesis remains unclear. In this study, we found that Wls is expressed in developing HF during the morphogenesis stage after birth. By knocking out Wls in mouse skin epithelia with hypomorphic K14-cre, we found that Wls is required for normal HF morphogenesis. Wls-deficient HFs prematurely regressed, which was possibly caused by abnormally activated TGF-beta/JNK pathway. Although Wls was reported to be a direct target of the Wnt/beta-catenin pathway, we found that epithelial beta-catenin was not necessary to maintain Wls expression. Therefore, other signals are involved in regulating Wls transcription in mouse skin.",hair Follicle morphogenesis,TGF-beta
16,27695037,100860831;100860789,F000001,1,"Comparative Transcriptome Analysis Reveals that a Ubiquitin-Mediated Proteolysis Pathway Is Important for Primary and Secondary Hair Follicle Development in Cashmere Goats. BACKGROUND: The fleece of cashmere goats contains two distinct populations of fibers, a short and fine non-medullated insulating cashmere fiber and a long and coarse medullated guard hair. The former is produced by secondary follicles (SFs) and the later by primary follicles (PFs). Evidence suggests that the induction of PFs and SFs may require different signaling pathways. The regulation of BMP2/4 signaling by noggin and Edar signaling via Downless genes are essential for the induction of SFs and PFs, respectively. However, these differently expressed genes of the signaling pathway cannot directly distinguish between the PFs and SFs. RESULTS: In this study, we selected RNA samples from 11 PFs and 7 SFs that included 145,525 exons. The pathway analysis of 4512 differentially expressed exons revealed that the most statistically significant metabolic pathway was related to the ubiquitin-mediated proteolysis pathway (UMPP) (P<3.32x 10-7). In addition, the 51 exons of the UMPP that were differentially expressed between the different types of hair follicle (HFs) were compared by cluster analysis. This resulted in the PFs and SFs being divided into two classes. The expression level of two selected exons was analyzed by qRT-PCR, and the results indicated that the expression patterns were consistent with the deep sequencing results obtained by RNA-Seq. CONCLUSIONS: Based on the comparative transcriptome analysis of 18 HFs from cashmere goats, a large number of differentially expressed exons were identified using a high-throughput sequencing approach. This study suggests that UMPP activation is a prominent signaling pathway for distinguishing the PFs and SFs of cashmere goats. It is also a meaningful contribution to the theoretical basis of the biological study of the HFs of cashmere goats and other mammals.",secondary Follicles,BMP2/4
17,27736875,54084,F000021,1,"Mutations in TSPEAR, Encoding a Regulator of Notch Signaling, Affect Tooth and Hair Follicle Morphogenesis. Despite recent advances in our understanding of the pathogenesis of ectodermal dysplasias (EDs), the molecular basis of many of these disorders remains unknown. In the present study, we aimed at elucidating the genetic basis of a new form of ED featuring facial dysmorphism, scalp hypotrichosis and hypodontia. Using whole exome sequencing, we identified 2 frameshift and 2 missense mutations in TSPEAR segregating with the disease phenotype in 3 families. TSPEAR encodes the thrombospondin-type laminin G domain and EAR repeats (TSPEAR) protein, whose function is poorly understood. TSPEAR knock-down resulted in altered expression of genes known to be regulated by NOTCH and to be involved in murine hair and tooth development. Pathway analysis confirmed that down-regulation of TSPEAR in keratinocytes is likely to affect Notch signaling. Accordingly, using a luciferase-based reporter assay, we showed that TSPEAR knock-down is associated with decreased Notch signaling. In addition, NOTCH1 protein expression was reduced in patient scalp skin. Moreover, TSPEAR silencing in mouse hair follicle organ cultures was found to induce apoptosis in follicular epithelial cells, resulting in decreased hair bulb diameter. Collectively, these observations indicate that TSPEAR plays a critical, previously unrecognized role in human tooth and hair follicle morphogenesis through regulation of the Notch signaling pathway.",Hair Follicle Morphogenesis,TSPEAR
18,27907131,6387,F000021,1,"iTRAQ-Based Quantitative Proteomic Comparison of Early- and Late-Passage Human Dermal Papilla Cell Secretome in Relation to Inducing Hair Follicle Regeneration. Alopecia is an exceedingly prevalent problem that lacks effective therapy. Recently, research has focused on early-passage dermal papilla cells (DPCs), which have hair inducing activity both in vivo and in vitro. Our previous study indicated that factors secreted from early-passage DPCs contribute to hair follicle (HF) regeneration. To identify which factors are responsible for HF regeneration and why late-passage DPCs lose this potential, we collected 48-h-culture medium (CM) from both of passage 3 and 9 DPCs, and subcutaneously injected the DPC-CM into NU/NU mice. Passage 3 DPC-CM induced HF regeneration, based on the emergence of a white hair coat, but passage 9 DPC-CM did not. In order to identify the key factors responsible for hair induction, CM from passage 3 and 9 DPCs was analyzed by iTRAQ-based quantitative proteomic technology. We identified 1360 proteins, of which 213 proteins were differentially expressed between CM from early-passage vs. late-passage DPCs, including SDF1, MMP3, biglycan and LTBP1. Further analysis indicated that the differentially-expressed proteins regulated the Wnt, TGF-beta and BMP signaling pathways, which directly and indirectly participate in HF morphogenesis and regeneration. Subsequently, we selected 19 proteins for further verification by multiple reaction monitoring (MRM) between the two types of CM. These results indicate DPC-secreted proteins play important roles in HF regeneration, with SDF1, MMP3, biglycan, and LTBP1 being potential key inductive factors secreted by dermal papilla cells in the regeneration of hair follicles.",HF morphogenesis,SDF1
19,27907131,4314,F000021,1,"iTRAQ-Based Quantitative Proteomic Comparison of Early- and Late-Passage Human Dermal Papilla Cell Secretome in Relation to Inducing Hair Follicle Regeneration. Alopecia is an exceedingly prevalent problem that lacks effective therapy. Recently, research has focused on early-passage dermal papilla cells (DPCs), which have hair inducing activity both in vivo and in vitro. Our previous study indicated that factors secreted from early-passage DPCs contribute to hair follicle (HF) regeneration. To identify which factors are responsible for HF regeneration and why late-passage DPCs lose this potential, we collected 48-h-culture medium (CM) from both of passage 3 and 9 DPCs, and subcutaneously injected the DPC-CM into NU/NU mice. Passage 3 DPC-CM induced HF regeneration, based on the emergence of a white hair coat, but passage 9 DPC-CM did not. In order to identify the key factors responsible for hair induction, CM from passage 3 and 9 DPCs was analyzed by iTRAQ-based quantitative proteomic technology. We identified 1360 proteins, of which 213 proteins were differentially expressed between CM from early-passage vs. late-passage DPCs, including SDF1, MMP3, biglycan and LTBP1. Further analysis indicated that the differentially-expressed proteins regulated the Wnt, TGF-beta and BMP signaling pathways, which directly and indirectly participate in HF morphogenesis and regeneration. Subsequently, we selected 19 proteins for further verification by multiple reaction monitoring (MRM) between the two types of CM. These results indicate DPC-secreted proteins play important roles in HF regeneration, with SDF1, MMP3, biglycan, and LTBP1 being potential key inductive factors secreted by dermal papilla cells in the regeneration of hair follicles.",HF morphogenesis,MMP3
20,27907131,4314,F000034,1,"iTRAQ-Based Quantitative Proteomic Comparison of Early- and Late-Passage Human Dermal Papilla Cell Secretome in Relation to Inducing Hair Follicle Regeneration. Alopecia is an exceedingly prevalent problem that lacks effective therapy. Recently, research has focused on early-passage dermal papilla cells (DPCs), which have hair inducing activity both in vivo and in vitro. Our previous study indicated that factors secreted from early-passage DPCs contribute to hair follicle (HF) regeneration. To identify which factors are responsible for HF regeneration and why late-passage DPCs lose this potential, we collected 48-h-culture medium (CM) from both of passage 3 and 9 DPCs, and subcutaneously injected the DPC-CM into NU/NU mice. Passage 3 DPC-CM induced HF regeneration, based on the emergence of a white hair coat, but passage 9 DPC-CM did not. In order to identify the key factors responsible for hair induction, CM from passage 3 and 9 DPCs was analyzed by iTRAQ-based quantitative proteomic technology. We identified 1360 proteins, of which 213 proteins were differentially expressed between CM from early-passage vs. late-passage DPCs, including SDF1, MMP3, biglycan and LTBP1. Further analysis indicated that the differentially-expressed proteins regulated the Wnt, TGF-beta and BMP signaling pathways, which directly and indirectly participate in HF morphogenesis and regeneration. Subsequently, we selected 19 proteins for further verification by multiple reaction monitoring (MRM) between the two types of CM. These results indicate DPC-secreted proteins play important roles in HF regeneration, with SDF1, MMP3, biglycan, and LTBP1 being potential key inductive factors secreted by dermal papilla cells in the regeneration of hair follicles.",Dermal Papilla Cell,MMP3
21,27907131,633,F000034,1,"iTRAQ-Based Quantitative Proteomic Comparison of Early- and Late-Passage Human Dermal Papilla Cell Secretome in Relation to Inducing Hair Follicle Regeneration. Alopecia is an exceedingly prevalent problem that lacks effective therapy. Recently, research has focused on early-passage dermal papilla cells (DPCs), which have hair inducing activity both in vivo and in vitro. Our previous study indicated that factors secreted from early-passage DPCs contribute to hair follicle (HF) regeneration. To identify which factors are responsible for HF regeneration and why late-passage DPCs lose this potential, we collected 48-h-culture medium (CM) from both of passage 3 and 9 DPCs, and subcutaneously injected the DPC-CM into NU/NU mice. Passage 3 DPC-CM induced HF regeneration, based on the emergence of a white hair coat, but passage 9 DPC-CM did not. In order to identify the key factors responsible for hair induction, CM from passage 3 and 9 DPCs was analyzed by iTRAQ-based quantitative proteomic technology. We identified 1360 proteins, of which 213 proteins were differentially expressed between CM from early-passage vs. late-passage DPCs, including SDF1, MMP3, biglycan and LTBP1. Further analysis indicated that the differentially-expressed proteins regulated the Wnt, TGF-beta and BMP signaling pathways, which directly and indirectly participate in HF morphogenesis and regeneration. Subsequently, we selected 19 proteins for further verification by multiple reaction monitoring (MRM) between the two types of CM. These results indicate DPC-secreted proteins play important roles in HF regeneration, with SDF1, MMP3, biglycan, and LTBP1 being potential key inductive factors secreted by dermal papilla cells in the regeneration of hair follicles.",Dermal Papilla Cell,biglycan
